Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"HOTELS DE PARIS";FR0004165801;HDP;"Euronext Paris";EUR;3.00;3.00;3.00;3.00;"12/12/2023 11:30";CET;1224;3672.00;3.00;12/12/2023
HOTL.IMMOB.NICE;FR0006563904;MLHIN;"Euronext Access Paris";EUR;206.00;206.00;206.00;206.00;"11/12/2023 11:30";CET;5;1030.00;206.00;12/12/2023
HUNYVERS;FR0014007LQ2;ALHUN;"Euronext Growth Paris";EUR;14.20;14.20;13.95;13.95;"12/12/2023 15:37";CET;1346;19041.05;13.95;12/12/2023
HYBRIGENICS;FR0004153930;ALHYG;"Euronext Growth Paris";EUR;0.0388;0.044;0.026;0.0282;"12/12/2023 17:35";CET;15274955;535538.84;0.0282;12/12/2023
"HYDRAULIQUE PB";FR0000064735;MLHYD;"Euronext Access Paris";EUR;690.00;690.00;690.00;690.00;"01/12/2023 16:30";CET;1;690.00;690.00;12/12/2023
HYDRO-EXPLOIT.;FR0005843125;MLHYE;"Euronext Access Paris";EUR;107.00;107.00;107.00;107.00;"04/12/2023 11:30";CET;1;107.00;107.00;12/12/2023
"HYDROGEN REFUELING";FR0014001PM5;ALHRS;"Euronext Growth Paris";EUR;18.16;18.74;18.16;18.52;"12/12/2023 17:28";CET;9474;175052.68;18.52;12/12/2023
I.CERAM;FR0014005IU4;ALICR;"Euronext Growth Paris";EUR;2.98;3.04;2.96;2.96;"12/12/2023 17:07";CET;415;1245.40;2.96;12/12/2023
I2S;FR0005854700;ALI2S;"Euronext Growth Paris";EUR;5.05;5.05;5.05;5.05;"12/12/2023 16:30";CET;76;383.80;5.05;12/12/2023
"IANTE INVESTMENTS";ES0105479002;MLINT;"Euronext Access Paris";EUR;4.62;4.62;4.62;4.62;"20/05/2022 16:30";CET;700;3234.00;4.62;12/12/2023
ICADE;FR0000035081;ICAD;"Euronext Paris";EUR;33.20;33.60;32.56;32.84;"12/12/2023 18:20";CET;76132;2514298.92;32.84;12/12/2023
"ICAPE HOLDING";FR001400A3Q3;ALICA;"Euronext Growth Paris";EUR;10.35;10.45;10.35;10.45;"12/12/2023 14:10";CET;221;2293.10;10.45;12/12/2023
"ID LOGISTICS GROUP";FR0010929125;IDL;"Euronext Paris";EUR;290.50;290.50;285.00;286.50;"12/12/2023 17:35";CET;2280;655464.50;286.50;12/12/2023
IDI;FR0000051393;IDIP;"Euronext Paris";EUR;64.20;65.20;64.00;64.40;"12/12/2023 17:11";CET;691;44436.60;64.40;12/12/2023
IDS;FR0000079691;MLIDS;"Euronext Access Paris";EUR;0.30;0.30;0.30;0.30;"12/12/2023 13:24";CET;5567;1670.10;0.30;12/12/2023
IDSUD;FR0000062184;ALIDS;"Euronext Growth Paris";EUR;119.00;120.00;119.00;120.00;"11/12/2023 10:25";CET;14;1670.00;120.00;12/12/2023
"IGIS NEPTUNE";ES0105551008;MLABC;"Euronext Access Paris";EUR;11.43;11.43;11.43;11.43;"31/08/2021 00:00";CET;-;-;10.20;12/12/2023
IKONISYS;FR00140048X2;ALIKO;"Euronext Growth Paris";EUR;1.55;1.55;1.55;1.55;"12/12/2023 11:09";CET;1576;2442.80;1.55;12/12/2023
ILBE;IT0005380602;ALIE;"Euronext Growth Paris";EUR;1.12;1.12;1.12;1.12;"06/10/2023 09:00";CET;1;1.12;1.12;12/12/2023
